james,20,13,17,2,13,4,8,11,10,14
rabert,19,12,13,5,12,5,7,12,11,12
john,17,14,12,20,11,7,11,13,19,16
michael,16,12,15,1,3,9,14,14,17,20
david,14,5,18,20,20,10,2,15,20,4
william,13,3,20,7,14,4,11,16,9,5
richard,15,13,19,8,13,1,2,18,8,13
joseph,16,15,18,9,12,20,6,20,20,16
thomas,17,18,17,4,12,19,12,20,17,17
christopher,12,13,1,0,3,1,5,3,13,3
charles,13,15,15,13,5,12,15,6,11,0
daniel,12,14,20,12,6,17,17,20,16,1
matthew,11,20,13,14,16,9,11,12,15,2
anthony,10,20,20,3,20,8,10,11,11,13
maRK,7,19,20,20,20,20,19,20,20,20
donald,7,18,20,18,19,13,0,19,19,13
steven,8,15,19,15,17,17,3,18,18,17
andrew,4,4,15,13,11,18,11,17,14,13
paul,12,6,14,11,10,13,16,13,17,14
joshua,13,8,2,10,12,1,13,12,20,20
kenneth,16,14,5,13,5,7,8,11,5,20
kevin,19,13,17,17,20,2,9,10,6,19
brian,20,11,14,11,12,0,5,13,1,18
george,20,10,16,5,14,6,3,14,0,17
timothy,18,12,7,4,18,9,11,19,20,12
ronald,20,5,16,20,19,9,13,20,13,14
jason,15,3,13,13,20,10,12,9,11,13
edward,14,17,12,4,20,1,14,8,12,13
jeffrey,13,17,11,2,14,3,15,2,16,12
ryan,12,16,10,18,20,20,17,11,17,11
jacob,10,16,15,1,20,17,20,20,18,10
gary,10,20,19,14,16,11,19,18,11,13
nicholas,9,19,8,9,13,11,15,13,10,16
eric,9,15,20,10,20,17,11,20,14,20
jonathan,11,15,3,12,1,0,10,11,12,20
stephen,14,17,20,17,2,0,11,10,18,13
larry,11,4,14,11,20,20,17,20,19,5
justin,7,6,14,10,13,12,13,15,20,0
scott,6,7,11,20,12,19,12,13,20,8
brandon,5,9,10,20,16,15,7,11,11,20
benjamin,13,20,6,1,13,14,4,10,14,13
samuel,12,19,4,20,10,13,5,20,20,4
gregory,16,19,20,7,20,11,6,20,11,17
alexander,17,20,5,7,20,10,7,11,10,3
patrick,17,14,16,4,17,20,1,11,18,15
frank,17,12,13,16,20,20,11,15,20,12
raymond,18,4,16,17,13,12,4,18,1,11
jack,20,4,11,13,14,16,9,20,13,20
dennis,15,17,20,2,20,14,3,9,17,19
jerry,14,13,12,6,20,11,5,8,14,17
tyler,3,20,19,10,15,10,6,7,15,14
aaron,2,19,18,11,16,18,1,11,12,3
jose,6,13,14,15,17,20,20,10,11,7
adam,5,20,5,16,20,18,20,20,10,9
nathan,17,18,7,13,11,1,3,0,18,0
henry,19,16,0,14,20,11,7,1,20,20
zachary,3,8,0,19,18,7,9,19,13,19
douglas,5,14,20,3,20,8,4,15,5,17
peter,7,15,20,17,17,6,2,19,0,14
kyle,13,10,13,8,11,14,4,20,12,18
noah,16,12,16,0,10,20,9,11,7,20
ethan,14,15,17,4,19,11,8,10,14,13
jeremy,4,5,5,19,20,14,4,10,20,14
walter,5,7,6,20,20,15,7,20,5,18
chiristian,7,1,1,0,8,3,1,2,8,20
keith,4,0,11,14,20,20,9,13,9,11
rogeR,15,0,10,13,13,11,4,11,12,10
terry,15,10,20,5,12,10,3,17,11,12
austin,12,20,3,17,10,2,1,15,10,20
sean,10,13,2,14,11,20,17,9,5,5
gerald,9,14,20,11,13,0,3,6,16,0
carl,3,15,18,10,12,11,19,4,17,1
harold,6,8,16,9,17,13,11,11,11,13
dylan,19,19,13,20,9,1,12,10,10,2
arthur,4,11,12,20,7,3,15,12,20,7
lawrence,20,12,3,4,9,0,19,19,14,15
jordan,13,9,11,19,20,1,11,20,18,17
jesse,17,10,10,19,13,2,19,4,13,20
bryan,3,16,14,17,11,11,20,6,18,13
billy,7,16,15,15,20,13,12,8,4,18
bruce,8,19,11,11,20,15,16,13,8,20
gabriel,8,7,20,10,18,17,14,15,13,20
joe,12,20,20,17,20,20,20,17,11,17
logan,10,13,19,18,8,3,20,20,12,2
alan,10,18,18,20,20,12,13,11,17,5
juan,20,18,14,12,20,20,14,10,13,8
albert,16,19,13,5,19,20,18,13,20,0
willie,16,19,11,8,18,17,13,17,13,13
elijah,17,20,10,0,14,11,15,6,14,11
wayne,13,1,20,20,12,13,17,9,16,10
randy,19,2,20,13,17,17,11,10,20,9
vincent,18,19,15,1,10,1,10,11,20,5
mason,5,20,15,20,20,13,20,20,20,3
roy,7,14,13,19,20,20,19,20,13,14
ralph,9,17,11,18,19,2,18,11,18,4
bobby,19,2,10,15,15,4,13,5,19,16
russell,20,5,6,14,11,6,14,20,20,9
bradley,13,16,7,13,17,0,15,12,13,20
philip,11,20,7,11,20,3,16,11,11,11
iman,12,8,20,19,12,11,10,11,2,0
